epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,10677.3,0.54458,0.41936,1.11328,0.98356,0.97262,0.99367,0.95277,0.26931,0.19816,0.89118,0.0007558,0.0007558,0.0007558
76,10829.3,0.54667,0.42708,1.1114,0.98688,0.97267,0.99339,0.95228,0.26992,0.20065,0.89033,0.0007525,0.0007525,0.0007525
77,10981.5,0.53874,0.42131,1.1086,0.98356,0.97276,0.99367,0.95655,0.26511,0.19595,0.88613,0.0007492,0.0007492,0.0007492
78,11134.8,0.53919,0.41666,1.10557,0.98346,0.97379,0.99368,0.95648,0.26863,0.19666,0.89157,0.0007459,0.0007459,0.0007459
79,11287.2,0.53402,0.41915,1.10624,0.98837,0.97378,0.99379,0.95475,0.26833,0.19813,0.88867,0.0007426,0.0007426,0.0007426
80,11441,0.52766,0.41287,1.10224,0.98938,0.9757,0.99405,0.95911,0.26299,0.19131,0.88498,0.0007393,0.0007393,0.0007393
81,11589.5,0.53381,0.41295,1.10395,0.98754,0.9745,0.99387,0.95712,0.26376,0.1882,0.88842,0.000736,0.000736,0.000736
82,11738.5,0.52398,0.40888,1.10058,0.98636,0.97253,0.9938,0.95715,0.25854,0.19299,0.88361,0.0007327,0.0007327,0.0007327
83,11888.4,0.5256,0.4084,1.10483,0.9873,0.97668,0.99408,0.95825,0.2616,0.18876,0.88643,0.0007294,0.0007294,0.0007294
84,12036,0.52229,0.40425,1.09804,0.98749,0.97249,0.99372,0.95728,0.25783,0.19118,0.88279,0.0007261,0.0007261,0.0007261
85,12184,0.52865,0.40707,1.1,0.9859,0.97291,0.99378,0.95772,0.25945,0.19495,0.88681,0.0007228,0.0007228,0.0007228
86,12330.9,0.52075,0.39922,1.0948,0.98602,0.97771,0.99403,0.95745,0.25827,0.18677,0.88476,0.0007195,0.0007195,0.0007195
87,12476.4,0.51919,0.39671,1.09172,0.98508,0.97572,0.99389,0.95883,0.25467,0.18994,0.88148,0.0007162,0.0007162,0.0007162
88,12621,0.52015,0.40355,1.09547,0.98483,0.97581,0.99395,0.95945,0.25196,0.18685,0.87962,0.0007129,0.0007129,0.0007129
89,12766.2,0.52529,0.40478,1.09984,0.98796,0.97028,0.99356,0.95634,0.25163,0.19342,0.87872,0.0007096,0.0007096,0.0007096
90,12914.6,0.52988,0.40351,1.1005,0.98535,0.97779,0.99412,0.95979,0.25315,0.18423,0.88183,0.0007063,0.0007063,0.0007063
91,13060.6,0.52064,0.40116,1.09686,0.98517,0.98181,0.99425,0.96121,0.25512,0.1827,0.87868,0.000703,0.000703,0.000703
92,13209.8,0.53105,0.41366,1.10309,0.98693,0.97693,0.99398,0.96026,0.25381,0.18631,0.87831,0.0006997,0.0006997,0.0006997
93,13358.6,0.51569,0.39834,1.09151,0.9866,0.9766,0.99404,0.95862,0.25526,0.18491,0.87956,0.0006964,0.0006964,0.0006964
94,13512.8,0.51027,0.38903,1.09049,0.98568,0.98079,0.99412,0.96257,0.2498,0.18044,0.87955,0.0006931,0.0006931,0.0006931
95,13661.5,0.52062,0.39636,1.0951,0.98734,0.98009,0.99424,0.96172,0.24568,0.17907,0.87552,0.0006898,0.0006898,0.0006898
96,13804.4,0.51092,0.39073,1.08399,0.98564,0.9809,0.99427,0.96276,0.2474,0.18059,0.87678,0.0006865,0.0006865,0.0006865
97,13948.3,0.5121,0.39024,1.09109,0.98596,0.97808,0.99409,0.96345,0.2446,0.18076,0.87601,0.0006832,0.0006832,0.0006832
98,14095.5,0.50672,0.39252,1.09177,0.98711,0.98086,0.99427,0.9595,0.24483,0.17688,0.87475,0.0006799,0.0006799,0.0006799
99,14242.6,0.51031,0.38924,1.09224,0.98656,0.98054,0.99425,0.96318,0.24291,0.17605,0.87221,0.0006766,0.0006766,0.0006766
100,14389.8,0.50674,0.3843,1.0883,0.98663,0.97857,0.99425,0.95959,0.24339,0.1783,0.87457,0.0006733,0.0006733,0.0006733
101,14536.8,0.50571,0.38391,1.08744,0.98822,0.98164,0.99449,0.96304,0.24185,0.17677,0.8706,0.00067,0.00067,0.00067
102,14684.5,0.50961,0.39036,1.0856,0.98723,0.98111,0.99443,0.96265,0.24451,0.17696,0.8732,0.0006667,0.0006667,0.0006667
103,14831.9,0.50304,0.38593,1.08694,0.98631,0.97894,0.99416,0.96272,0.24426,0.17852,0.87412,0.0006634,0.0006634,0.0006634
