epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,7960.39,0.55522,0.43562,1.12416,0.98487,0.98002,0.99428,0.96006,0.27583,0.20936,0.89804,0.0008185,0.0008185,0.0008185
57,8098.15,0.55729,0.44157,1.12802,0.98632,0.97914,0.99428,0.9618,0.27528,0.20465,0.89959,0.0008152,0.0008152,0.0008152
58,8235.87,0.54479,0.41892,1.11764,0.98728,0.9769,0.99425,0.95952,0.27329,0.2029,0.90194,0.0008119,0.0008119,0.0008119
59,8373.44,0.54782,0.43422,1.1213,0.98459,0.97816,0.99423,0.95906,0.27603,0.21192,0.8994,0.0008086,0.0008086,0.0008086
60,8511.11,0.55343,0.42907,1.12192,0.98528,0.98332,0.99437,0.95888,0.27714,0.21312,0.90284,0.0008053,0.0008053,0.0008053
61,8648.47,0.5493,0.43486,1.12185,0.98441,0.98482,0.9944,0.96154,0.2726,0.20698,0.89494,0.000802,0.000802,0.000802
62,8786.02,0.55249,0.43194,1.12194,0.98675,0.98272,0.99436,0.9604,0.27081,0.2082,0.89771,0.0007987,0.0007987,0.0007987
63,8923.34,0.5391,0.42453,1.1131,0.98576,0.98241,0.99442,0.96065,0.26244,0.19745,0.89344,0.0007954,0.0007954,0.0007954
64,9061.06,0.54405,0.42103,1.11897,0.98639,0.98368,0.99451,0.96181,0.2687,0.19845,0.89243,0.0007921,0.0007921,0.0007921
65,9198.76,0.53649,0.41834,1.11356,0.98686,0.98252,0.99436,0.96008,0.26583,0.19769,0.89508,0.0007888,0.0007888,0.0007888
66,9336.52,0.53533,0.41994,1.11272,0.98508,0.98572,0.9945,0.96271,0.27074,0.20416,0.89829,0.0007855,0.0007855,0.0007855
67,9474.1,0.54908,0.42873,1.11906,0.9828,0.98746,0.99448,0.96077,0.26143,0.19753,0.8892,0.0007822,0.0007822,0.0007822
68,9611.48,0.54193,0.41526,1.11639,0.98664,0.98444,0.99444,0.96226,0.26439,0.19457,0.8957,0.0007789,0.0007789,0.0007789
69,9749.23,0.536,0.4155,1.11436,0.98216,0.98667,0.99438,0.96276,0.25949,0.19241,0.8875,0.0007756,0.0007756,0.0007756
70,9887.05,0.52793,0.40604,1.10265,0.98715,0.98285,0.99444,0.96567,0.25821,0.19108,0.88229,0.0007723,0.0007723,0.0007723
71,10024.6,0.52406,0.40168,1.10733,0.98825,0.98754,0.99463,0.96632,0.25311,0.18537,0.88291,0.000769,0.000769,0.000769
72,10162.4,0.54057,0.4172,1.11631,0.98416,0.98118,0.99423,0.96527,0.25515,0.20131,0.87995,0.0007657,0.0007657,0.0007657
73,10299.9,0.5304,0.4129,1.10754,0.98557,0.98865,0.99459,0.96772,0.24894,0.18491,0.88126,0.0007624,0.0007624,0.0007624
74,10437.5,0.52299,0.40923,1.10123,0.98861,0.98507,0.99464,0.9678,0.24972,0.18891,0.87912,0.0007591,0.0007591,0.0007591
75,10575,0.51418,0.39958,1.0992,0.98765,0.98433,0.99457,0.96507,0.24955,0.18693,0.886,0.0007558,0.0007558,0.0007558
76,10712.8,0.52067,0.40184,1.09776,0.98596,0.98581,0.99455,0.96803,0.2486,0.18237,0.87667,0.0007525,0.0007525,0.0007525
77,10850.6,0.52976,0.40514,1.10661,0.98873,0.98517,0.99455,0.96839,0.24663,0.18485,0.87745,0.0007492,0.0007492,0.0007492
78,10988.3,0.51499,0.39392,1.09559,0.99185,0.9847,0.99463,0.96871,0.24604,0.18007,0.8786,0.0007459,0.0007459,0.0007459
79,11126.1,0.51003,0.39215,1.09337,0.9871,0.98803,0.99463,0.96808,0.24654,0.17945,0.87697,0.0007426,0.0007426,0.0007426
80,11264.1,0.51369,0.39491,1.09613,0.98836,0.98408,0.99459,0.96913,0.24214,0.18304,0.87268,0.0007393,0.0007393,0.0007393
81,11401.5,0.51502,0.39303,1.0956,0.98854,0.9863,0.99464,0.97043,0.24391,0.17746,0.87552,0.000736,0.000736,0.000736
82,11539.2,0.51219,0.38944,1.09304,0.99027,0.98889,0.99472,0.97207,0.2383,0.17369,0.8705,0.0007327,0.0007327,0.0007327
83,11677,0.51518,0.39285,1.0962,0.99058,0.98601,0.99468,0.9711,0.23919,0.17248,0.8755,0.0007294,0.0007294,0.0007294
84,11814.8,0.50916,0.38869,1.0912,0.98652,0.98803,0.99463,0.97023,0.24061,0.17835,0.87119,0.0007261,0.0007261,0.0007261
85,11952.3,0.50856,0.38812,1.09165,0.99009,0.98692,0.99472,0.97129,0.24267,0.17946,0.87138,0.0007228,0.0007228,0.0007228
86,12090.2,0.50044,0.38047,1.08496,0.98848,0.98717,0.99468,0.97115,0.23917,0.1753,0.87367,0.0007195,0.0007195,0.0007195
87,12228.1,0.50767,0.39019,1.09203,0.99119,0.98619,0.99475,0.97106,0.23494,0.17235,0.86851,0.0007162,0.0007162,0.0007162
88,12366.8,0.5023,0.38164,1.08604,0.98986,0.98782,0.99474,0.97203,0.23315,0.1745,0.86847,0.0007129,0.0007129,0.0007129
89,12504.7,0.50261,0.38111,1.08513,0.99059,0.98705,0.99473,0.97366,0.23372,0.1735,0.86666,0.0007096,0.0007096,0.0007096
90,12643.9,0.50699,0.38506,1.08873,0.99019,0.98902,0.99474,0.97072,0.23439,0.17249,0.86826,0.0007063,0.0007063,0.0007063
91,12782.1,0.50214,0.38227,1.08589,0.99013,0.98803,0.99481,0.97307,0.23254,0.17251,0.86733,0.000703,0.000703,0.000703
92,12919.9,0.49803,0.37087,1.08388,0.98934,0.99013,0.9948,0.97444,0.23128,0.17112,0.86267,0.0006997,0.0006997,0.0006997
93,13057.9,0.48785,0.36611,1.07297,0.99221,0.98791,0.99475,0.97492,0.2263,0.169,0.86419,0.0006964,0.0006964,0.0006964
94,13195,0.49553,0.37479,1.08005,0.99165,0.99013,0.99485,0.97342,0.22758,0.16755,0.86516,0.0006931,0.0006931,0.0006931
95,13333,0.49681,0.38113,1.08373,0.99219,0.98781,0.99477,0.97241,0.22998,0.17149,0.86551,0.0006898,0.0006898,0.0006898
96,13471.1,0.49798,0.372,1.07794,0.99002,0.99,0.99484,0.97469,0.22864,0.16738,0.86344,0.0006865,0.0006865,0.0006865
97,13608.8,0.48432,0.35986,1.0739,0.99315,0.98939,0.99484,0.97383,0.22663,0.16432,0.86273,0.0006832,0.0006832,0.0006832
98,13746,0.48631,0.36011,1.07413,0.99184,0.98989,0.99482,0.97542,0.22231,0.16241,0.8595,0.0006799,0.0006799,0.0006799
99,13883.6,0.48965,0.363,1.07716,0.99159,0.98915,0.99482,0.97513,0.22399,0.16406,0.85973,0.0006766,0.0006766,0.0006766
100,14021.1,0.48636,0.36466,1.07898,0.99123,0.99013,0.9948,0.97534,0.22171,0.16419,0.85799,0.0006733,0.0006733,0.0006733
101,14158.8,0.48798,0.36551,1.074,0.99068,0.9905,0.99481,0.97515,0.22332,0.16736,0.86011,0.00067,0.00067,0.00067
102,14296.3,0.48728,0.37059,1.07584,0.99455,0.99038,0.99492,0.97621,0.22001,0.15867,0.85841,0.0006667,0.0006667,0.0006667
103,14433.9,0.48514,0.36166,1.07582,0.99159,0.98902,0.99482,0.97644,0.2233,0.16027,0.86089,0.0006634,0.0006634,0.0006634
104,14571.8,0.4828,0.36345,1.07497,0.99147,0.98991,0.99487,0.97822,0.2166,0.15607,0.85492,0.0006601,0.0006601,0.0006601
105,14709.3,0.47925,0.35576,1.07211,0.99282,0.99062,0.99485,0.97767,0.21638,0.15786,0.85599,0.0006568,0.0006568,0.0006568
106,14846.9,0.48368,0.36187,1.07333,0.99368,0.98895,0.99487,0.97725,0.21469,0.15553,0.85323,0.0006535,0.0006535,0.0006535
107,14984.4,0.482,0.36277,1.07303,0.99443,0.99066,0.9949,0.9778,0.21331,0.15501,0.8501,0.0006502,0.0006502,0.0006502
108,15122.4,0.48293,0.36399,1.06964,0.99369,0.99128,0.99489,0.97721,0.21514,0.15546,0.8516,0.0006469,0.0006469,0.0006469
109,15259.8,0.47929,0.35513,1.06595,0.99286,0.99025,0.99487,0.9786,0.2114,0.15342,0.84769,0.0006436,0.0006436,0.0006436
110,15397.4,0.47923,0.35852,1.06408,0.99419,0.99074,0.99487,0.97809,0.20893,0.15159,0.84882,0.0006403,0.0006403,0.0006403
111,15535,0.47073,0.35222,1.06527,0.99506,0.99013,0.99491,0.9785,0.21191,0.15392,0.85219,0.000637,0.000637,0.000637
112,15672.5,0.47515,0.35424,1.06763,0.99344,0.99103,0.9949,0.979,0.20764,0.15033,0.84548,0.0006337,0.0006337,0.0006337
113,15810,0.47708,0.35636,1.0697,0.99442,0.99148,0.99492,0.97923,0.21006,0.15094,0.85053,0.0006304,0.0006304,0.0006304
114,15947.4,0.46365,0.34884,1.05858,0.99325,0.9921,0.99491,0.97857,0.21087,0.15327,0.8481,0.0006271,0.0006271,0.0006271
115,16084.5,0.46571,0.34402,1.0569,0.99283,0.99089,0.99487,0.97909,0.20996,0.15402,0.8466,0.0006238,0.0006238,0.0006238
116,16222,0.47025,0.35407,1.06948,0.99418,0.99102,0.99492,0.9788,0.21038,0.15271,0.84932,0.0006205,0.0006205,0.0006205
117,16359.5,0.47236,0.35048,1.06965,0.99395,0.99161,0.99491,0.97983,0.20882,0.14973,0.85084,0.0006172,0.0006172,0.0006172
118,16496.6,0.47081,0.35143,1.06063,0.99424,0.99148,0.99493,0.98052,0.2075,0.14939,0.84852,0.0006139,0.0006139,0.0006139
119,16634.1,0.46773,0.34895,1.06234,0.99541,0.99053,0.99493,0.98054,0.20485,0.15073,0.84788,0.0006106,0.0006106,0.0006106
120,16771.6,0.46974,0.3499,1.06017,0.99652,0.98953,0.99494,0.98162,0.20239,0.14799,0.84469,0.0006073,0.0006073,0.0006073
121,16909.1,0.47027,0.34367,1.06039,0.99475,0.99074,0.9949,0.98079,0.20136,0.14584,0.84463,0.000604,0.000604,0.000604
122,17046.6,0.4676,0.34545,1.06271,0.99435,0.99185,0.99492,0.98123,0.19889,0.1438,0.84319,0.0006007,0.0006007,0.0006007
123,17184,0.45965,0.34363,1.05243,0.99453,0.99235,0.99494,0.98047,0.20353,0.14471,0.8421,0.0005974,0.0005974,0.0005974
124,17321.7,0.46045,0.33929,1.0557,0.99405,0.99198,0.99493,0.97997,0.20199,0.1452,0.84254,0.0005941,0.0005941,0.0005941
125,17459.2,0.46005,0.33991,1.05803,0.99504,0.99047,0.99491,0.97997,0.20117,0.1432,0.84242,0.0005908,0.0005908,0.0005908
126,17596.8,0.45715,0.33643,1.05271,0.9948,0.99254,0.99493,0.98244,0.19832,0.14133,0.83939,0.0005875,0.0005875,0.0005875
127,17734.4,0.45896,0.34065,1.05873,0.99432,0.99311,0.99494,0.98111,0.19702,0.14177,0.83763,0.0005842,0.0005842,0.0005842
128,17872.3,0.45515,0.33392,1.04999,0.9947,0.9926,0.99492,0.98124,0.19923,0.14177,0.8386,0.0005809,0.0005809,0.0005809
129,18010,0.45394,0.3362,1.04718,0.99576,0.99136,0.99495,0.98061,0.20001,0.14697,0.83929,0.0005776,0.0005776,0.0005776
130,18147.6,0.45941,0.34271,1.05789,0.99654,0.9926,0.99496,0.98055,0.20221,0.15261,0.83919,0.0005743,0.0005743,0.0005743
131,18285.1,0.45678,0.33682,1.04918,0.99576,0.99309,0.99496,0.98221,0.197,0.14663,0.84129,0.000571,0.000571,0.000571
132,18422.5,0.45555,0.33353,1.05051,0.99403,0.99309,0.99494,0.98292,0.19516,0.14245,0.83982,0.0005677,0.0005677,0.0005677
133,18560,0.45715,0.33464,1.05397,0.99672,0.99235,0.99495,0.98351,0.19572,0.13957,0.8398,0.0005644,0.0005644,0.0005644
134,18697.5,0.4545,0.32634,1.04885,0.99579,0.99318,0.99495,0.98408,0.19389,0.13996,0.83636,0.0005611,0.0005611,0.0005611
135,18835.2,0.45172,0.33311,1.05074,0.99543,0.99442,0.99494,0.98366,0.19386,0.13751,0.83637,0.0005578,0.0005578,0.0005578
136,18972.6,0.45731,0.33363,1.05194,0.99439,0.99457,0.99495,0.9833,0.1943,0.13904,0.83709,0.0005545,0.0005545,0.0005545
137,19110,0.45262,0.32824,1.05284,0.99746,0.99297,0.99497,0.98311,0.19092,0.1361,0.8344,0.0005512,0.0005512,0.0005512
138,19247.1,0.45406,0.33319,1.05081,0.9953,0.99432,0.99496,0.98449,0.18903,0.13616,0.83145,0.0005479,0.0005479,0.0005479
139,19384.5,0.44568,0.32698,1.04493,0.99592,0.99351,0.99496,0.98427,0.19109,0.13628,0.83482,0.0005446,0.0005446,0.0005446
140,19521.9,0.44758,0.32869,1.04265,0.99506,0.99393,0.99495,0.98393,0.19,0.13559,0.83438,0.0005413,0.0005413,0.0005413
141,19659,0.44934,0.33518,1.04755,0.99521,0.9926,0.99494,0.98329,0.19244,0.13902,0.83553,0.000538,0.000538,0.000538
142,19796.6,0.45237,0.33192,1.04913,0.99591,0.9922,0.99495,0.98333,0.1888,0.13557,0.83495,0.0005347,0.0005347,0.0005347
143,19934,0.44373,0.32293,1.04634,0.99595,0.99173,0.99496,0.98433,0.18689,0.13464,0.83297,0.0005314,0.0005314,0.0005314
144,20071.5,0.44568,0.32441,1.04409,0.99555,0.99282,0.99496,0.98216,0.18846,0.13598,0.83153,0.0005281,0.0005281,0.0005281
145,20208.8,0.44691,0.32751,1.04063,0.99653,0.99256,0.99495,0.98337,0.18652,0.13226,0.82971,0.0005248,0.0005248,0.0005248
146,20346.4,0.44492,0.32521,1.04379,0.99555,0.99297,0.99495,0.98233,0.18577,0.1343,0.83076,0.0005215,0.0005215,0.0005215
147,20483.9,0.4358,0.32113,1.04134,0.99579,0.99208,0.99496,0.98428,0.18532,0.13286,0.83211,0.0005182,0.0005182,0.0005182
148,20621.3,0.44297,0.32215,1.03999,0.99676,0.99185,0.99497,0.98437,0.18469,0.131,0.83165,0.0005149,0.0005149,0.0005149
149,20759.1,0.44285,0.32613,1.04514,0.99676,0.99395,0.99498,0.98463,0.18426,0.13026,0.8311,0.0005116,0.0005116,0.0005116
150,20896.6,0.44512,0.32452,1.0455,0.99715,0.99459,0.99498,0.98542,0.18273,0.12938,0.82976,0.0005083,0.0005083,0.0005083
151,21034.3,0.43907,0.32053,1.04018,0.99681,0.99334,0.99498,0.98517,0.18231,0.12881,0.82899,0.000505,0.000505,0.000505
152,21171.8,0.44287,0.32318,1.04569,0.99654,0.9943,0.99498,0.98508,0.18143,0.12821,0.82893,0.0005017,0.0005017,0.0005017
153,21309.2,0.44483,0.32396,1.04518,0.99727,0.99264,0.99498,0.98564,0.18094,0.12769,0.82824,0.0004984,0.0004984,0.0004984
154,21446.5,0.43558,0.3168,1.03634,0.9961,0.99334,0.99498,0.98569,0.18001,0.12732,0.828,0.0004951,0.0004951,0.0004951
155,21583.9,0.43726,0.32127,1.03837,0.99544,0.99556,0.99496,0.98508,0.18042,0.12679,0.82736,0.0004918,0.0004918,0.0004918
156,21721.4,0.43708,0.31797,1.04245,0.99605,0.99511,0.99497,0.98625,0.17955,0.12685,0.82786,0.0004885,0.0004885,0.0004885
157,21858.7,0.43735,0.3217,1.0357,0.99617,0.99478,0.99498,0.98623,0.1791,0.12743,0.82577,0.0004852,0.0004852,0.0004852
158,21996.3,0.43477,0.30922,1.03283,0.99703,0.99411,0.99498,0.98601,0.18028,0.12849,0.8294,0.0004819,0.0004819,0.0004819
159,22133.8,0.44188,0.32059,1.04662,0.99734,0.99457,0.99499,0.985,0.17916,0.12773,0.82764,0.0004786,0.0004786,0.0004786
160,22271.5,0.43785,0.32135,1.04093,0.99672,0.99543,0.99498,0.98504,0.17878,0.1281,0.82847,0.0004753,0.0004753,0.0004753
161,22409.1,0.43052,0.3137,1.03459,0.9974,0.99465,0.99499,0.98522,0.17679,0.12572,0.82702,0.000472,0.000472,0.000472
162,22546.6,0.42198,0.30782,1.02812,0.99687,0.99469,0.99498,0.98517,0.17625,0.12452,0.8249,0.0004687,0.0004687,0.0004687
163,22684.2,0.43269,0.31093,1.03343,0.99642,0.99516,0.99498,0.98519,0.17615,0.12411,0.82497,0.0004654,0.0004654,0.0004654
164,22821.5,0.42381,0.30208,1.02899,0.99646,0.99519,0.99498,0.98628,0.17484,0.12358,0.82338,0.0004621,0.0004621,0.0004621
165,22959,0.42807,0.30935,1.03022,0.99619,0.9958,0.99497,0.98646,0.17405,0.1235,0.82257,0.0004588,0.0004588,0.0004588
166,23096.3,0.42858,0.31149,1.03278,0.99784,0.99457,0.99497,0.98645,0.17317,0.12255,0.82206,0.0004555,0.0004555,0.0004555
167,23233.8,0.42065,0.304,1.02473,0.99765,0.99553,0.99496,0.98636,0.17365,0.12269,0.82078,0.0004522,0.0004522,0.0004522
168,23371.6,0.42571,0.3064,1.02897,0.99777,0.99541,0.99498,0.9866,0.17369,0.12344,0.82017,0.0004489,0.0004489,0.0004489
169,23509.3,0.42917,0.30601,1.03345,0.99765,0.99538,0.99499,0.98604,0.17341,0.12276,0.8212,0.0004456,0.0004456,0.0004456
170,23647,0.42835,0.30934,1.03182,0.99827,0.99524,0.99498,0.9862,0.17239,0.12112,0.82215,0.0004423,0.0004423,0.0004423
171,23785.1,0.42382,0.3073,1.02783,0.99802,0.99543,0.99498,0.98669,0.17254,0.12166,0.82231,0.000439,0.000439,0.000439
172,23923.4,0.43147,0.30559,1.03421,0.99765,0.99535,0.99498,0.98672,0.1726,0.12136,0.82101,0.0004357,0.0004357,0.0004357
173,24061.4,0.41736,0.30402,1.02039,0.99678,0.99494,0.99498,0.98646,0.17097,0.12199,0.81958,0.0004324,0.0004324,0.0004324
174,24198.9,0.42009,0.30308,1.02757,0.99739,0.99482,0.99499,0.98652,0.17049,0.12118,0.81926,0.0004291,0.0004291,0.0004291
175,24336.3,0.42022,0.30337,1.02413,0.99792,0.9942,0.99499,0.98627,0.16966,0.12017,0.81861,0.0004258,0.0004258,0.0004258
176,24473.6,0.42474,0.30208,1.03046,0.9979,0.99474,0.99499,0.98587,0.16963,0.11974,0.81856,0.0004225,0.0004225,0.0004225
177,24611,0.41756,0.29915,1.02314,0.99707,0.99593,0.99499,0.98628,0.17034,0.11987,0.8193,0.0004192,0.0004192,0.0004192
178,24748.2,0.42321,0.30235,1.02855,0.99779,0.99482,0.99498,0.98623,0.16979,0.11958,0.81911,0.0004159,0.0004159,0.0004159
179,24885.9,0.41407,0.2959,1.02239,0.99802,0.99481,0.99498,0.98645,0.16965,0.12003,0.81842,0.0004126,0.0004126,0.0004126
180,25023.3,0.40794,0.29506,1.02109,0.99796,0.99408,0.99498,0.98662,0.16863,0.12028,0.81756,0.0004093,0.0004093,0.0004093
181,25160.8,0.41747,0.29675,1.02938,0.99753,0.99516,0.99498,0.98702,0.16828,0.11957,0.81745,0.000406,0.000406,0.000406
182,25298.4,0.41742,0.29784,1.02265,0.9974,0.99494,0.99498,0.98729,0.16776,0.11934,0.81679,0.0004027,0.0004027,0.0004027
